Epoch  1 : Train Loss 0.047886 , Train acc 0.112700, Valid acc 0.112600
Epoch  2 : Train Loss 0.006668 , Train acc 0.431700, Valid acc 0.416400
Epoch  3 : Train Loss 0.002800 , Train acc 0.967900, Valid acc 0.955600
Epoch  4 : Train Loss 0.001562 , Train acc 0.978200, Valid acc 0.952200
Epoch  5 : Train Loss 0.001092 , Train acc 0.962100, Valid acc 0.936200
Epoch  6 : Train Loss 0.000710 , Train acc 0.983400, Valid acc 0.958800
Epoch  7 : Train Loss 0.000341 , Train acc 0.993600, Valid acc 0.970800
Epoch  8 : Train Loss 0.000190 , Train acc 0.998500, Valid acc 0.978400
Epoch  9 : Train Loss 0.000100 , Train acc 1.000000, Valid acc 0.982000
Epoch 10 : Train Loss 0.000046 , Train acc 1.000000, Valid acc 0.985400
Epoch 11 : Train Loss 0.000034 , Train acc 1.000000, Valid acc 0.986200
Epoch 12 : Train Loss 0.000029 , Train acc 1.000000, Valid acc 0.986200
Epoch 13 : Train Loss 0.000026 , Train acc 1.000000, Valid acc 0.986000
Epoch 14 : Train Loss 0.000023 , Train acc 1.000000, Valid acc 0.986000
Epoch 15 : Train Loss 0.000021 , Train acc 1.000000, Valid acc 0.986000
Epoch 16 : Train Loss 0.000020 , Train acc 1.000000, Valid acc 0.986000
Epoch 17 : Train Loss 0.000018 , Train acc 1.000000, Valid acc 0.986000
Epoch 18 : Train Loss 0.000017 , Train acc 1.000000, Valid acc 0.986000
Epoch 19 : Train Loss 0.000016 , Train acc 1.000000, Valid acc 0.986000
Epoch 20 : Train Loss 0.000015 , Train acc 1.000000, Valid acc 0.986000
Epoch 21 : Train Loss 0.000014 , Train acc 1.000000, Valid acc 0.986000
Epoch 22 : Train Loss 0.000014 , Train acc 1.000000, Valid acc 0.986000
Epoch 23 : Train Loss 0.000013 , Train acc 1.000000, Valid acc 0.985800
Epoch 24 : Train Loss 0.000012 , Train acc 1.000000, Valid acc 0.985800
Epoch 25 : Train Loss 0.000012 , Train acc 1.000000, Valid acc 0.985800
Epoch 26 : Train Loss 0.000011 , Train acc 1.000000, Valid acc 0.985800
Epoch 27 : Train Loss 0.000011 , Train acc 1.000000, Valid acc 0.985800
Epoch 28 : Train Loss 0.000010 , Train acc 1.000000, Valid acc 0.985800
Epoch 29 : Train Loss 0.000010 , Train acc 1.000000, Valid acc 0.985800
Epoch 30 : Train Loss 0.000010 , Train acc 1.000000, Valid acc 0.985800
Epoch 31 : Train Loss 0.000009 , Train acc 1.000000, Valid acc 0.985800
